YearsCodePro,JobSatisfaction,CodingLanguageNum,OfficeStackAsyncNum,OpSysProfessionalNum,NEWCollabToolsNum,WorkExp,DatabaseNum,PlatformNum,OfficeStackSyncNum,avg_score,ConvertedCompYearly,LogComp,Full-time Employment,Age_encoded,EdLevel_encoded,RemoteWork_encoded,Continent_encoded
6.0,0,4.0,3.0,1.0,2.0,6.0,0.0,1.0,1.0,3.625,18175.0,9.80780230240172,1,1,1,2,1
12.0,0,4.0,0.0,1.0,3.0,22.0,3.0,2.0,2.0,3.5,118000.0,11.6784399034478,1,2,1,2,3
16.0,1,5.0,3.0,1.0,1.0,16.0,1.0,1.0,4.0,4.375,91371.0,11.422683420444104,1,2,2,2,2
6.0,2,8.0,6.0,1.0,2.0,6.0,5.0,4.0,4.0,2.875,47852.0,10.775868193290794,0,1,1,2,2
28.0,2,16.0,8.0,4.0,4.0,28.0,6.0,2.0,5.0,2.5,107090.0,11.58142488139492,1,3,3,0,2
6.0,0,6.0,5.0,2.0,4.0,6.0,7.0,6.0,7.0,3.125,31833.0,10.3682587665417,1,1,1,2,1
4.0,0,5.0,4.0,3.0,3.0,5.0,1.0,3.0,2.0,3.375,121238.0,11.705510834829802,1,1,1,0,2
3.0,0,6.0,4.0,3.0,4.0,6.0,5.0,5.0,1.0,3.0,72714.0,11.194289217196545,1,1,1,0,1
12.0,0,5.0,3.0,9.0,3.0,12.0,2.0,1.0,4.0,3.0,69608.0,11.15063478224586,1,2,2,2,2
11.0,0,9.0,7.0,6.0,8.0,11.0,7.0,3.0,7.0,3.625,47852.0,10.775868193290794,1,1,1,0,2
5.0,1,10.0,4.0,4.0,3.0,5.0,0.0,0.0,6.0,4.25,59970.0,11.001599716162556,1,1,2,0,2
3.0,0,4.0,0.0,1.0,0.0,4.0,2.0,0.0,1.0,3.0,53545.0,10.888277700834976,1,1,0,1,2
10.0,2,6.0,9.0,2.0,4.0,10.0,12.0,6.0,3.0,2.625,3237.0,8.082402253926244,1,1,1,2,2
5.0,0,6.0,3.0,1.0,5.0,7.0,5.0,1.0,3.0,3.5,52046.0,10.859883221906587,1,0,1,0,3
4.0,0,10.0,0.0,4.0,2.0,4.0,2.0,0.0,1.0,3.25,41765.0,10.639813947190008,1,1,2,0,2
7.0,1,6.0,2.0,1.0,2.0,7.0,2.0,1.0,2.0,3.75,71326.0,11.175016196312894,1,1,1,0,2
5.0,0,9.0,2.0,1.0,1.0,9.0,3.0,3.0,2.0,3.125,62969.0,11.050397820778638,1,1,1,0,2
12.0,2,3.0,2.0,1.0,3.0,12.0,2.0,1.0,1.0,1.75,55862.0,10.93063964265343,1,2,1,0,2
8.0,0,1.0,0.0,1.0,1.0,10.0,1.0,0.0,2.0,3.0,24234.0,10.095511884791469,1,2,2,2,1
2.0,0,7.0,2.0,0.0,3.0,2.0,4.0,3.0,8.0,3.625,34911.0,10.460557244776188,1,1,6,0,2
3.0,0,4.0,2.0,2.0,1.0,3.0,2.0,3.0,1.0,3.375,26772.0,10.195111844220532,1,0,1,0,2
18.0,0,4.0,1.0,2.0,2.0,18.0,3.0,1.0,1.0,3.375,65325.0,11.087130090388811,1,2,2,0,2
8.0,0,7.0,2.0,2.0,9.0,16.0,4.0,4.0,4.0,3.375,74963.0,11.224749937456188,1,2,4,0,1
24.0,0,3.0,2.0,4.0,1.0,24.0,2.0,0.0,2.0,3.125,51415.0,10.84768523766329,1,3,2,0,2
25.0,2,4.0,1.0,1.0,1.0,25.0,1.0,2.0,1.0,1.875,170000.0,12.0435537160324,1,2,1,2,3
30.0,0,3.0,1.0,1.0,1.0,30.0,2.0,1.0,2.0,3.625,138033.0,11.835248065987,1,3,1,0,2
20.0,1,3.0,6.0,2.0,6.0,25.0,4.0,0.0,4.0,4.0,5322.0,8.579604451537634,1,2,2,2,2
5.0,1,10.0,2.0,2.0,10.0,5.0,6.0,3.0,4.0,4.0,3962.0,8.284504227258497,1,0,5,0,2
19.0,0,7.0,3.0,6.0,3.0,19.0,1.0,1.0,1.0,3.125,110000.0,11.608235644774552,1,2,1,2,3
10.0,2,14.0,0.0,1.0,0.0,15.0,5.0,0.0,5.0,2.75,53545.0,10.888277700834976,1,1,2,0,2
4.0,2,20.0,2.0,1.0,2.0,3.0,8.0,11.0,13.0,2.875,36351.0,10.500976992899632,1,0,1,2,1
8.0,0,5.0,2.0,1.0,5.0,8.0,6.0,2.0,1.0,3.125,55687.0,10.927502005497212,1,1,2,1,2
17.0,2,3.0,4.0,2.0,3.0,17.0,1.0,1.0,5.0,2.75,56757.0,10.946534275754528,1,2,6,0,2
16.0,0,2.0,0.0,1.0,3.0,16.0,1.0,0.0,3.0,3.125,80317.0,11.293736583630396,1,2,2,0,2
6.0,1,5.0,2.0,2.0,4.0,7.0,1.0,1.0,1.0,3.875,74963.0,11.224749937456188,1,1,1,0,2
